Year,School,School_Consistant,lon,lat,IndianMale,IndianFemale,Indian_Pop,Indian_Prcnt,IndianPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2008,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,0,2,2,0.224,0.20%,15,6,21,2.349,2.30%,188,188,376,42.058,42.10%,233,217,450,50.336,50.30%,24,21,45,5.034,5.00%,0,0,0,0,0.00%,0,0,0,0,0.00%,894,0,1,1
2009,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,0,1,1,0.105,0.10%,17,12,29,3.053,3.10%,211,223,434,45.684,45.70%,237,209,446,46.947,46.90%,17,23,40,4.211,4.20%,0,0,0,0,0.00%,0,0,0,0,0.00%,950,0,1,1
2010,ALBEMARLE ROAD ELEM,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,0,1,1,0.104,0.10%,27,25,52,5.417,5.40%,218,227,445,46.354,46.40%,203,214,417,43.438,43.40%,20,25,45,4.688,4.70%,0,0,0,0,0.00%,0,0,0,0,0.00%,960,0,1,1
2011,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,1,0,1,0.104,0.10%,29,33,62,6.472,6.50%,199,224,423,44.154,44.20%,205,186,391,40.814,40.80%,20,21,41,4.28,4.30%,0,0,0,0,0.00%,23,17,40,4.175,4.20%,958,0,1,1
2012,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,3,0,3,0.294,0.30%,48,37,85,8.342,8.30%,228,225,453,44.455,44.50%,213,201,414,40.628,40.60%,25,22,47,4.612,4.60%,0,0,0,0,0.00%,11,6,17,1.668,1.70%,"1,019",0,1,1
2013,ALBEMARLE ROAD ELEMENTARY,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,2,4,6,0.558,0.60%,41,50,91,8.457,8.50%,270,253,523,48.606,48.60%,202,200,402,37.361,37.40%,20,18,38,3.532,3.50%,0,0,0,0,0.00%,12,4,16,1.487,1.50%,"1,076",0,1,1
2014,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,2,1,3,0.248,0.20%,42,57,99,8.175,8.20%,354,309,663,54.748,54.70%,196,183,379,31.296,31.30%,26,26,52,4.294,4.30%,0,1,1,0.083,0.10%,11,3,14,1.156,1.20%,"1,211",0,1,1
2015,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,3,5,8,0.6,0.60%,60,58,118,8.852,8.90%,384,332,716,53.713,53.70%,217,209,426,31.958,32.00%,26,21,47,3.526,3.50%,0,1,1,0.075,0.10%,12,5,17,1.275,1.30%,"1,333",0,1,1
2016,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,3,7,10,0.884,0.90%,64,39,103,9.107,9.10%,335,281,616,54.465,54.50%,180,165,345,30.504,30.50%,23,19,42,3.714,3.70%,2,5,7,0.619,0.60%,4,4,8,0.707,0.70%,"1,131",0,1,1
2017,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,3,2,5,0.428,0.40%,76,51,127,10.864,10.90%,330,298,628,53.721,53.70%,180,174,354,30.282,30.30%,27,15,42,3.593,3.60%,2,3,5,0.428,0.40%,5,3,8,0.684,0.70%,"1,169",0,1,1
2018,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,2,1,3,0.277,0.30%,87,66,153,14.114,14.10%,318,256,574,52.952,53.00%,157,151,308,28.413,28.40%,22,16,38,3.506,3.50%,3,1,4,0.369,0.40%,3,1,4,0.369,0.40%,"1,084",0,1,1
2019,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,0,1,1,0.113,0.10%,59,47,106,11.977,12.00%,258,195,453,51.186,51.20%,146,140,286,32.316,32.30%,17,14,31,3.503,3.50%,3,2,5,0.565,0.60%,1,2,3,0.339,0.30%,885,0,1,1
2020,Albemarle Road Elementary,ALBEMARLE ROAD ELEMENTARY,-80.7295137,35.1970888,0,0,0,0,0.00%,68,52,120,14.337,14.30%,241,177,418,49.94,49.90%,125,142,267,31.9,31.90%,12,10,22,2.628,2.60%,3,2,5,0.597,0.60%,1,4,5,0.597,0.60%,837,0,1,1
2008,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,2,0,2,0.253,0.30%,21,13,34,4.309,4.30%,129,140,269,34.094,34.10%,214,220,434,55.006,55.00%,25,25,50,6.337,6.30%,0,0,0,0,0.00%,0,0,0,0,0.00%,789,0,1,1
2009,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,3,1,4,0.501,0.50%,20,11,31,3.885,3.90%,128,137,265,33.208,33.20%,233,206,439,55.013,55.00%,32,27,59,7.393,7.40%,0,0,0,0,0.00%,0,0,0,0,0.00%,798,0,1,1
2010,ALBEMARLE ROAD MID,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,2,0,2,0.245,0.20%,23,11,34,4.167,4.20%,143,130,273,33.456,33.50%,241,210,451,55.27,55.30%,28,28,56,6.863,6.90%,0,0,0,0,0.00%,0,0,0,0,0.00%,816,0,1,1
2011,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,2,0,2,0.245,0.20%,24,16,40,4.908,4.90%,136,134,270,33.129,33.10%,212,209,421,51.656,51.70%,28,29,57,6.994,7.00%,0,0,0,0,0.00%,15,10,25,3.067,3.10%,815,0,1,1
2012,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,4,1,5,0.492,0.50%,27,23,50,4.921,4.90%,159,175,334,32.874,32.90%,245,282,527,51.87,51.90%,35,30,65,6.398,6.40%,0,0,0,0,0.00%,14,21,35,3.445,3.40%,"1,016",0,1,1
2013,ALBEMARLE ROAD MIDDLE,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,4,1,5,0.449,0.40%,39,20,59,5.296,5.30%,176,216,392,35.189,35.20%,269,288,557,50,50.00%,37,33,70,6.284,6.30%,0,0,0,0,0.00%,14,17,31,2.783,2.80%,"1,114",0,1,1
2014,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,4,5,9,0.777,0.80%,39,28,67,5.786,5.80%,210,248,458,39.551,39.60%,284,241,525,45.337,45.30%,34,36,70,6.045,6.00%,0,1,1,0.086,0.10%,12,16,28,2.418,2.40%,"1,158",0,1,1
2015,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,2,2,4,0.334,0.30%,51,33,84,7.012,7.00%,242,268,510,42.571,42.60%,285,220,505,42.154,42.20%,32,40,72,6.01,6.00%,0,0,0,0,0.00%,14,9,23,1.92,1.90%,"1,198",0,1,1
2016,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,0,3,3,0.27,0.30%,44,40,84,7.554,7.60%,241,241,482,43.345,43.30%,249,200,449,40.378,40.40%,36,35,71,6.385,6.40%,0,0,0,0,0.00%,13,10,23,2.068,2.10%,"1,112",0,1,1
2017,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,1,4,5,0.432,0.40%,44,44,88,7.599,7.60%,266,258,524,45.25,45.30%,234,228,462,39.896,39.90%,34,30,64,5.527,5.50%,0,0,0,0,0.00%,8,7,15,1.295,1.30%,"1,158",0,1,1
2018,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,0,1,1,0.091,0.10%,45,36,81,7.37,7.40%,282,250,532,48.408,48.40%,195,209,404,36.761,36.80%,42,26,68,6.187,6.20%,1,1,2,0.182,0.20%,5,6,11,1.001,1.00%,"1,099",0,1,1
2019,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,2,0,2,0.173,0.20%,56,40,96,8.319,8.30%,277,282,559,48.44,48.40%,221,202,423,36.655,36.70%,37,17,54,4.679,4.70%,3,2,5,0.433,0.40%,5,10,15,1.3,1.30%,"1,154",0,1,1
2020,Albemarle Road Middle,ALBEMARLE ROAD MIDDLE,-80.7300693,35.1990332,1,0,1,0.091,0.10%,48,34,82,7.428,7.40%,271,264,535,48.46,48.50%,211,189,400,36.232,36.20%,37,28,65,5.888,5.90%,2,0,2,0.181,0.20%,7,12,19,1.721,1.70%,1104,0,1,1
